,tags,body
19,git,"How do I revert from my current state to a snapshot made on a certain commit?

If I do git log, then I get the following output:

$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 18:59:41 2010 -0400

blah blah blah...

commit 25eee4caef46ae64aa08e8ab3f988bc917ee1ce4
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 05:13:39 2010 -0400

more blah blah blah...

commit 0766c053c0ea2035e90f504928f8df3c9363b8bd
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 00:55:06 2010 -0400

And yet more blah blah...

commit 0d1d7fc32e5a947fbd92ee598033d85bfc445a50
Author: Me &lt;me@me.com&gt;
Date:   Wed Nov 3 23:56:08 2010 -0400

Yep, more blah blah.


How do I revert to the commit from November 3, i.e. commit 0d1d7fc?
"
20,git,"Somebody pushed a branch called test with git push origin test to a shared repository. I can see the branch with git branch -r.

Now I'm trying to check out the remote test branch.

I've tried:


git checkout test which does nothing
git checkout origin/test gives * (no branch). Which is confusing. How can I be on ""no branch""?


How do I check out a remote Git branch?
"
21,git,"How do you delete untracked local files from your current working tree?
"
22,javascript,"Usually I would expect a String.contains() method, but there doesn't seem to be one. 

What is a reasonable way to check for this?
"
23,javascript,"I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.

The previous developer used two ways of declaring functions and I can't work out if there is a reason behind it or not.

The two ways are:

var functionOne = function() {
    // Some code
};




function functionTwo() {
    // Some code
}


What are the reasons for using these two different methods and what are the pros and cons of each? Is there anything that can be done with one method that can't be done with the other?
"
24,java,"If I run the following program, which parses two date strings referencing times 1 second apart and compares them:
public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf = new SimpleDateFormat(&quot;yyyy-MM-dd HH:mm:ss&quot;);  
    String str3 = &quot;1927-12-31 23:54:07&quot;;  
    String str4 = &quot;1927-12-31 23:54:08&quot;;  
    Date sDt3 = sf.parse(str3);  
    Date sDt4 = sf.parse(str4);  
    long ld3 = sDt3.getTime() /1000;  
    long ld4 = sDt4.getTime() /1000;
    System.out.println(ld4-ld3);
}

The output is:
353

Why is ld4-ld3, not 1 (as I would expect from the one-second difference in the times), but 353?
If I change the dates to times 1 second later:
String str3 = &quot;1927-12-31 23:54:08&quot;;  
String str4 = &quot;1927-12-31 23:54:09&quot;;  

Then ld4-ld3 will be 1.

Java version:
java version &quot;1.6.0_22&quot;
Java(TM) SE Runtime Environment (build 1.6.0_22-b04)
Dynamic Code Evolution Client VM (build 0.2-b02-internal, 19.0-b04-internal, mixed mode)

Timezone(`TimeZone.getDefault()`):

sun.util.calendar.ZoneInfo[id=&quot;Asia/Shanghai&quot;,
offset=28800000,dstSavings=0,
useDaylight=false,
transitions=19,
lastRule=null]

Locale(Locale.getDefault()): zh_CN

"
25,java,"I always thought Java uses pass-by-reference.
However, I've seen a blog post that claims that Java uses pass-by-value.
I don't think I understand the distinction they're making.
What is the explanation?
"
26,python,"Given the following code, what does the if __name__ == ""__main__"": do?

# Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while True:
        lock.acquire()
        time.sleep(sleeptime)
        lock.release()
        time.sleep(sleeptime)

if __name__ == ""__main__"":
    lock = thread.allocate_lock()
    thread.start_new_thread(myfunction, (""Thread #: 1"", 2, lock))
    thread.start_new_thread(myfunction, (""Thread #: 2"", 2, lock))

"
27,c#,"Example (note the case):

string s = ""Hello world!"";
String s = ""Hello world!"";


What are the guidelines for the use of each? And what are the differences?
"
28,python,"If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?
"
29,javascript,"Say I create an object as follows:
let myObject = {
  &quot;ircEvent&quot;: &quot;PRIVMSG&quot;,
  &quot;method&quot;: &quot;newURI&quot;,
  &quot;regex&quot;: &quot;^http://.*&quot;,
};

How should I remove the property regex to end up with new myObject as follows?
let myObject = {
  &quot;ircEvent&quot;: &quot;PRIVMSG&quot;,
  &quot;method&quot;: &quot;newURI&quot;,
};

"
30,git,"There is a file that was being tracked by Git, but now the file is on the .gitignore list.
However, that file keeps showing up in git status after it's edited. How do you force Git to completely forget about it?
"
31,python,"In Python, what are metaclasses and what do we use them for?
"
32,python,"How do I check whether a file exists or not, without using the try statement?
"
33,linux,"I'm trying to find a way to scan my entire Linux system for all files containing a specific string of text. Just to clarify, I'm looking for text within the file, not in the file name.

When I was looking up how to do this, I came across this solution twice:

find / -type f -exec grep -H 'text-to-find-here' {} \;


However, it doesn't work. It seems to display every single file in the system.

Is this close to the proper way to do it? If not, how should I? This ability to find text strings in files would be extraordinarily useful for some programming projects I'm doing.
"
34,javascript,"I have a function foo which makes an asynchronous request. How can I return the response/result from foo?
I am trying to return the value from the callback, as well as assigning the result to a local variable inside the function and returning that one, but none of those ways actually return the response (they all return undefined or whatever the initial value of the variable result is).
Example of an asynchronous function that accepts a callback (using jQuery's ajax function)
function foo() {
    var result;

    $.ajax({
        url: '...',
        success: function(response) {
            result = response;
            // return response; // &lt;- I tried that one as well
        }
    });

    return result; // It always returns `undefined`
}

Example using Node.js:
function foo() {
    var result;

    fs.readFile(&quot;path/to/file&quot;, function(err, data) {
        result = data;
        // return data; // &lt;- I tried that one as well
    });

    return result; // It always returns `undefined`
}

Example using the then block of a promise:
function foo() {
    var result;

    fetch(url).then(function(response) {
        result = response;
        // return response; // &lt;- I tried that one as well
    });

    return result; // It always returns `undefined`
}

"
35,android,"What is the difference between Android units of measure?


px
dip
dp
sp

"
36,python,"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned its result instead of modifying a dictionary in-place.
&gt;&gt;&gt; x = {'a': 1, 'b': 2}
&gt;&gt;&gt; y = {'b': 10, 'c': 11}
&gt;&gt;&gt; z = x.update(y)
&gt;&gt;&gt; print(z)
None
&gt;&gt;&gt; x
{'a': 1, 'b': 10, 'c': 11}

How can I get that final merged dictionary in z, not x?
(To be extra-clear, the last-one-wins conflict-handling of dict.update() is what I'm looking for as well.)
"
37,http,"According to RFC 2616, § 9.5, POST is used to create a resource:

The POST method is used to request that the origin server accept the entity enclosed in the request as a new subordinate of the resource identified by the Request-URI in the Request-Line.

According to RFC 2616, § 9.6, PUT is used to create or replace a resource:

The PUT method requests that the enclosed entity be stored under the supplied Request-URI. If the Request-URI refers to an already existing resource, the enclosed entity SHOULD be considered as a modified version of the one residing on the origin server. If the Request-URI does not point to an existing resource, and that URI is capable of being defined as a new resource by the requesting user agent, the origin server can create the resource with that URI.

So which HTTP method should be used to create a resource? Or should both be supported?
"
38,javascript,"Is there something in JavaScript similar to @import in CSS that allows you to include a JavaScript file inside another JavaScript file?
"
39,git,"I'd like to move the last several commits I've committed to master to a new branch and take master back to before those commits were made. Unfortunately, my Git-fu is not strong enough yet, any help?

I.e. How can I go from this

master A - B - C - D - E


to this?

newbranch     C - D - E
             /
master A - B 

"
40,css,"For anchors that act like buttons (for example Questions, Tags, Users, etc. which are located on the top of the Stack Overflow page) or tabs, is there a CSS standard way to disable the highlighting effect if the user accidentally selects the text?
I realize that this could be done with JavaScript and a little googling yielded the Mozilla-only -moz-user-select option.
Is there a standard-compliant way to accomplish this with CSS, and if not, what is the &quot;best practice&quot; approach?
"
41,javascript,"I'm using JSLint to go through JavaScript, and it's returning many suggestions to replace == (two equals signs) with === (three equals signs) when doing things like comparing idSele_UNVEHtype.value.length == 0 inside of an if statement.

Is there a performance benefit to replacing == with ===? 

Any performance improvement would be welcomed as many comparison operators exist.

If no type conversion takes place, would there be a performance gain over ==?
"
42,bash,"How do I get the path of the directory in which a Bash script is located, inside that script?
I want to use a Bash script as a launcher for another application. I want to change the working directory to the one where the Bash script is located, so I can operate on the files in that directory, like so:
$ ./application

"
43,python,"How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?
"
44,forms,"
Moderator note:
This question is not a good fit for our question and answer format with the topicality rules which currently apply for Stack Overflow. We normally use a &quot;historical lock&quot; for such questions where the content still has value. However, the answers on this question are actively maintained and a historical lock doesn't permit editing of the answers. As such, a &quot;wiki answer&quot; lock has been applied to allow the answers to be edited. You should assume the topicality issues which are normally handled by a historical lock are present (i.e. this question not a good example of an on-topic question for Stack Overflow).

Form-based authentication for websites
We believe that Stack Overflow should not just be a resource for very specific technical questions, but also for general guidelines on how to solve variations on common problems. &quot;Form based authentication for websites&quot; should be a fine topic for such an experiment.
It should include topics such as:

How to log in
How to log out
How to remain logged in
Managing cookies (including recommended settings)
SSL/HTTPS encryption
How to store passwords
Using secret questions
Forgotten username/password functionality
Use of nonces to prevent cross-site request forgeries (CSRF)
OpenID
&quot;Remember me&quot; checkbox
Browser autocompletion of usernames and passwords
Secret URLs (public URL protected by digest)
Checking password strength
E-mail validation
and much more about form based authentication...

It should not include things like:

Roles and authorization
HTTP basic authentication

Please help us by:

Suggesting subtopics
Submitting good articles about this subject
Editing the official answer

"
45,git,"How do I discard changes in my working copy that are not in the index?
"
46,javascript,"ECMAScript 6 introduced the let statement.
I've heard that it's described as a local variable, but I'm still not quite sure how it behaves differently than the var keyword.
What are the differences?. When should let be used instead of var?
"
47,http,"What is the maximum length of a URL in different browsers? Does it differ among browsers?
Is a maximum URL length part of the HTTP specification?
"
48,javascript,"How can I loop through all the entries in an array using JavaScript?

I thought it was something like this:

forEach(instance in theArray)


Where theArray is my array, but this seems to be incorrect.
"
49,algorithm,"I'd prefer as little formal definition as possible and simple mathematics.
"
50,javascript,"What is the most efficient way to clone a JavaScript object? I've seen obj = eval(uneval(o)); being used, but that's non-standard and only supported by Firefox. I've done things like obj = JSON.parse(JSON.stringify(o)); but question the efficiency.  I've also seen recursive copying functions with various flaws.

I'm surprised no canonical solution exists.
"
51,git,"I want to resolve merge conflicts in my Git repository.
How can I do that?
"
52,git,"I have made some changes to a file which has been committed a few times as part of a group of files, but now want to reset/revert the changes on it back to a previous version. 

I have done a git log along with a git diff to find the revision I need, but just have no idea how to get the file back to its former state in the past.
"
53,javascript,"What's the best way to validate an email address in JavaScript with a regular expression?
"
54,javascript,"I have this string in my JavaScript code:
&quot;Test abc test test abc test test test abc test test abc&quot;

Doing:
str = str.replace('abc', '');

Seems to only remove the first occurrence of abc in the string above.
How can I replace all occurrences of it?
"
55,python,"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:
import os

file_path = &quot;/my/directory/filename.txt&quot;
directory = os.path.dirname(file_path)

try:
    os.stat(directory)
except:
    os.mkdir(directory)

f = file(filename)

Somehow, I missed os.path.exists (thanks kanja, Blair, and Douglas). This is what I have now:
def ensure_dir(file_path):
    directory = os.path.dirname(file_path)
    if not os.path.exists(directory):
        os.makedirs(directory)

Is there a flag for &quot;open&quot;, that makes this happen automatically?
"
56,sql,"Also how do LEFT JOIN, RIGHT JOIN and FULL JOIN fit in?
"
57,git,"I want to be able to do the following:

Create a local branch based on some other (remote or local) branch (via git branch or git checkout -b)

Push the local branch
to the remote repository (publish), but make it
trackable so git pull and git push will work immediately.


How do I do that?
I know about --set-upstream in Git 1.7, but that is a post-creation action. I want to find a way to make a similar change when pushing the branch to the remote repository.
"
58,git,"I have a repo (origin) on a USB key that I cloned on my hard drive (local). I moved ""origin"" to a NAS and successfully tested cloning it from here.

I would like to know if I can change the URI of ""origin"" in the settings of ""local"" so it will now pull from the NAS, and not from the USB key.

For now, I can see two solutions:


push everything to the usb-orign, and copy it to the NAS again (implies a lot of work due to new commits to nas-origin);
add a new remote to ""local"" and delete the old one (I fear I'll break my history).

"
59,javascript,"I need to check the checked property of a checkbox and perform an action based on the checked property using jQuery.
For example, if the age checkbox is checked, then I need to show a textbox to enter age, else hide the textbox.
But the following code returns false by default:


if ($('#isAgeSelected').attr('checked')) {
  $(""#txtAge"").show();
} else {
  $(""#txtAge"").hide();
}
&lt;script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.1/jquery.min.js""&gt;&lt;/script&gt;
&lt;input type=""checkbox"" id=""isAgeSelected""/&gt;
&lt;div id=""txtAge"" style=""display:none""&gt;
  Age is selected
&lt;/div&gt;



How do I successfully query the checked property?
"
60,php,"What is this?
This is a collection of questions that come up every now and then about syntax in PHP. This is also a Community Wiki, so everyone is invited to participate in maintaining this list.
Why is this?
It used to be hard to find questions about operators and other syntax tokens.¹
The main idea is to have links to existing questions on Stack Overflow, so it's easier for us to reference them, not to copy over content from the PHP Manual.
Note: Since January 2013, Stack Overflow does support special characters. Just surround the search terms by quotes, e.g. [php] &quot;==&quot; vs &quot;===&quot;
What should I do here?
If you have been pointed here by someone because you have asked such a question, please find the particular syntax below. The linked pages to the PHP manual along with the linked questions will likely answer your question then. If so, you are encouraged to upvote the answer. This list is not meant as a substitute for the help others provided.
The List
If your particular token is not listed below, you might find it in the List of Parser Tokens.

&amp; Bitwise Operators or References

What does it mean to start a PHP function with an ampersand?
Understanding PHP &amp; (ampersand, bitwise and) operator
PHP &quot;&amp;&quot; operator
Difference between &amp; and &amp;&amp; in PHP
What does &quot;&amp;&quot; mean here in PHP?
What does &quot;&amp;&quot; mean in this case?
What does the &quot;&amp;&quot; sign mean in PHP?
What does this signature mean (&amp;) in PHP?
How does the &quot;&amp;&quot; operator work in a PHP function?
What does &amp; in &amp;2 mean in PHP?
When should I use a bitwise operator?
Is there ever a need to use ampersand in front of an object? (&amp;$)


=&amp; References

Reference assignment operator in PHP, =&amp;
What do the &quot;=&amp;&quot; and &quot;&amp;=&quot; operators in PHP mean?
What do the &#39;&amp;=&#39; and &#39;=&amp;&#39; operators do?
What does =&amp; mean in PHP?


&amp;= Bitwise Operators

What do the &quot;=&amp;&quot; and &quot;&amp;=&quot; operators in PHP mean?
What do the &#39;&amp;=&#39; and &#39;=&amp;&#39; operators do?


&amp;&amp; Logical Operators

&#39;AND&#39; vs &#39;&amp;&amp;&#39; as operator
Difference between &amp; and &amp;&amp; in PHP
Is there any difference between &quot;and&quot; and &quot;&amp;&amp;&quot; operators in PHP?
PHP - and / or keywords


% Arithmetic Operators

What does the percent sign mean in PHP?
What is the PHP operator % and how do I use it in real-world examples?


!! Logical Operators

Double not (!!) operator in PHP


@ Error Control Operators

What is the use of the @ symbol in PHP?
&#39;At&#39; symbol before variable name in PHP: @$_POST
PHP functions and @functions
Should I use @ in my PHP code?
What does @ mean in PHP?


?: Ternary Operator

What are the PHP operators &quot;?&quot; and &quot;:&quot; called and what do they do?
?: operator (the &#39;Elvis operator&#39;) in PHP
Where can I read about conditionals done with &quot;?&quot; and &quot;:&quot; (colon)?
Using PHP 5.3 ?: operator


?? Null Coalesce Operator (since PHP 7)

C#&#39;s null coalescing operator (??) in PHP


?string
?int
?array
?bool
?float Nullable return type declaration (since PHP 7.1)

Nullable return type declaration
php method argument type hinting with question mark (?type)


: Alternative syntax for control structures, Ternary Operator, Return Type Declaration

What is &quot;:&quot; in PHP?
What does &quot;:&quot; mean in PHP?
Colon after method declaration?


:: Scope Resolution Operator

What do two colons mean in PHP?
What&#39;s the meaning of the PHP token name T_PAAMAYIM_NEKUDOTAYIM?
What&#39;s the difference between :: (double colon) and -&gt; (arrow) in PHP?
What exactly are late static bindings in PHP?
static::staticFunctionName()
Unexpected T_PAAMAYIM_NEKUDOTAYIM, expecting T_NS_Separator


\ Namespaces

Backslash in PHP -- what does it mean?
What does a \ (backslash) do in PHP (5.3+)?


-&gt; Classes And Objects

What is the &quot;-&gt;&quot; PHP operator called?
Where do we use the object operator &quot;-&gt;&quot; in PHP?
What&#39;s the difference between :: (double colon) and -&gt; (arrow) in PHP?
What does the PHP syntax $var1-&gt;$var2 mean?
What does &quot;-&gt;&quot; mean/refer to in PHP?


=&gt; Arrays

What does &quot;=&gt;&quot; mean in PHP?
Use of =&gt; in PHP
What does $k =&gt; $v in foreach($ex as $k=&gt;$v) mean?


^ Bitwise Operators

How does the bitwise operator XOR (&#39;^&#39;) work?
What does ^ mean in PHP?


&gt;&gt; Bitwise Operators

What does &gt;&gt; mean in PHP?


&lt;&lt; Bitwise Operators

Strange print behaviour in PHP?


&lt;&lt;&lt; Heredoc or Nowdoc

What does &lt;&lt;&lt;END mean in PHP?
PHP expression &lt;&lt;&lt;EOB
In PHP, what does &quot;&lt;&lt;&lt;&quot; represent?
Using &lt;&lt;&lt;CON in PHP
What&#39;s this kind of syntax in PHP?


= Assignment Operators

The 3 different equals


== Comparison Operators

How do the PHP equality (== double equals) and identity (=== triple equals) comparison operators differ?
PHP != and == operators
The 3 different equals
Type-juggling and (strict) greater/lesser-than comparisons in PHP


=== Comparison Operators

What does &quot;===&quot; mean?
How do the PHP equality (== double equals) and identity (=== triple equals) comparison operators differ?
The 3 different equals
Type-juggling and (strict) greater/lesser-than comparisons in PHP


!== Comparison Operators

What does !== comparison operator in PHP mean?
Is there a difference between !== and != in PHP?


!= Comparison Operators

PHP != and == operators
Is there a difference between !== and != in PHP?
comparing, !== versus !=
What is the difference between &lt;&gt; and !=


&lt;&gt; Comparison Operators

PHP operator &lt;&gt;
PHP&#39;s &lt;&gt; operator
What is the difference between &lt;&gt; and !=
Type-juggling and (strict) greater/lesser-than comparisons in PHP


&lt;=&gt; Comparison Operators (since PHP 7.0)

Spaceship (three way comparison) operator


| Bitwise Operators

What is the difference between the | and || operators?
What Does Using A Single Pipe &#39;|&#39; In A Function Argument Do?


|| Logical Operators

What is the difference between the | and || operators?
PHP - and / or keywords
What exactly does || mean?
The behaviour of the or operator in PHP


~ Bitwise Operators

What does this ~ operator mean here?


+ Arithmetic Operators, Array Operators

+ operator for array in PHP?


+= and -= Assignment Operators

What is += used for?
What does `$page -= 1` in my PHP document mean?


++ and -- Incrementing/Decrementing Operators

Understanding Incrementing
Answer below


.= Assignment Operators

What is the difference between .= and += in PHP?
To understand a line of PHP


. String Operators

Difference between period and comma when concatenating with echo versus return?
What does a . (dot) do in PHP?


, Function Arguments

Difference between period and comma when concatenating with echo versus return?

, Variable Declarations

What do commas mean in a variable declaration?


$$ Variable Variables

What does $$ (dollar dollar or double dollar) mean in PHP?
what is &quot;$$&quot; in PHP
$function() and $$variable


` Execution Operator

What are the backticks `` called?


&lt;?= Short Open Tags

What does this symbol mean in PHP &lt;?=
What does &#39;&lt;?=&#39; mean in PHP?
What does &lt;?= mean?


[] Arrays (short syntax since PHP 5.4)

PHP arrays... What is/are the meaning(s) of an empty bracket?
What is the meaning of []
Php array_push() vs myArray[]
What does [] mean when reading from a PHP array?
Shorthand for arrays: literal $var = [] empty array


&lt;? Opening and Closing tags

Are PHP short tags acceptable to use?


... Argument unpacking (since PHP 5.6)

** Exponentiation (since PHP 5.6)

# One-line shell-style comment

Can I use hashes for comments in PHP?


?-&gt; NullSafe Operator Calls (since PHP 8.0)

What does this symbol mean &quot;?-&gt;&quot; in php, within an object or null value


"
61,regex,"I know it's possible to match a word and then reverse the matches using other tools (e.g. grep -v). However, is it possible to match lines that do not contain a specific word, e.g. hede, using a regular expression?
Input:
hoho
hihi
haha
hede

Code:
grep &quot;&lt;Regex for 'doesn't contain hede'&gt;&quot; input

Desired output:
hoho
hihi
haha

"
62,git,"How can I add a blank directory (that contains no files) to a Git repository?
"
63,html,"How can I horizontally center a &lt;div&gt; within another &lt;div&gt; using CSS?
&lt;div id=&quot;outer&quot;&gt;
  &lt;div id=&quot;inner&quot;&gt;Foo foo&lt;/div&gt;
&lt;/div&gt;


"
64,javascript,"I'm trying to create globally-unique identifiers in JavaScript.  I'm not sure what routines are available on all browsers, how &quot;random&quot; and seeded the built-in random number generator is, etc.
The GUID / UUID should be at least 32 characters and should stay in the ASCII range to avoid trouble when passing them around.
"
65,git,"I pulled a project from GitHub a few days ago. I've since discovered that there are several forks on GitHub, and I neglected to note which one I took originally. How can I determine which of those forks I pulled?
"
66,apache-flex,"We have an employee whose surname is Null. Our employee lookup application is killed when that last name is used as the search term (which happens to be quite often now). The error received (thanks Fiddler!) is:

&lt;soapenv:Fault&gt;
   &lt;faultcode&gt;soapenv:Server.userException&lt;/faultcode&gt;
   &lt;faultstring&gt;coldfusion.xml.rpc.CFCInvocationException: [coldfusion.runtime.MissingArgumentException : The SEARCHSTRING parameter to the getFacultyNames function is required but was not passed in.]&lt;/faultstring&gt;


Cute, huh?

The parameter type is string.

I am using:


WSDL (SOAP)
Flex 3.5
ActionScript 3
ColdFusion 8


Note that the error does not occur when calling the webservice as an object from a ColdFusion page.
"
